classification, true_output, bin_output
28,0.9612583,1
29,0.99921095,1
30,0.99996436,1
31,0.99999523,1
32,0.9999616,1
33,0.9999963,1
34,0.9999944,1
35,0.99995863,1
36,0.9987061,1
37,0.9982668,1
38,0.9995178,1
39,0.99698836,1
40,0.98286057,1
41,0.99752194,1
42,0.17963135,0
43,0.007222998,0
44,0.00097192416,0
45,5.0922943e-05,0
46,3.121399e-06,0
47,1.8342295e-06,0
48,5.798778e-06,0
49,5.016897e-06,0
50,1.3986956e-06,0
51,1.6439797e-07,0
52,1.1844746e-07,0
53,2.5499078e-06,0
54,0.0014039965,0
55,5.8437643e-05,0
56,0.9650837,1
57,0.9999628,1
58,0.9999958,1
59,0.99999905,1
60,0.99999917,1
61,0.9999993,1
62,0.99999547,1
63,0.99999213,1
64,0.999897,1
65,0.9997528,1
66,0.9991708,1
67,0.9998976,1
68,0.9999678,1
69,0.9999932,1
70,0.9999311,1
71,0.9999962,1
72,0.99999094,1
73,0.99999964,1
74,1.0,1
75,1.0,1
76,1.0,1
77,0.9999999,1
78,0.9999999,1
79,0.99999964,1
80,0.99999845,1
81,0.9999993,1
82,0.99999535,1
83,0.9998932,1
84,0.99998844,1
85,0.99740005,1
86,0.9970005,1
87,0.98911977,1
88,0.99998486,1
89,0.9967391,1
90,0.99886334,1
91,0.92878205,1
92,0.5004118,1
93,0.04473077,0
94,0.00038953702,0
95,4.699221e-05,0
96,1.0242677e-05,0
97,3.1912256e-05,0
98,1.1579054e-06,0
99,3.1932166e-07,0
100,7.111242e-06,0
101,1.6000886e-05,0
102,0.0011630645,0
103,0.011548288,0
104,0.0076212,0
2,0.00016585032,0
3,0.0010255406,0
4,0.00034448813,0
5,0.0006734064,0
6,0.006615371,0
7,0.02076311,0
8,0.018598894,0
9,0.0016963222,0
10,0.13265456,0
11,0.09192322,0
12,0.38956168,0
13,0.047458194,0
14,0.06551978,0
15,0.03134728,0
16,0.08728269,0
17,0.02492853,0
18,0.009002028,0
19,0.00821906,0
20,0.018368956,0
21,0.4025865,0
22,0.020209448,0
23,0.13566051,0
24,0.6500338,1
25,0.3205999,0
26,0.7653947,1
27,0.7216308,1
28,0.9204541,1
29,0.99604565,1
30,0.93932176,1
31,0.48831597,0
32,0.7823936,1
33,0.98328155,1
34,0.9882085,1
35,0.9971522,1
36,0.96253884,1
37,0.7760027,1
38,0.67545795,1
39,0.18536162,0
40,0.100277334,0
41,0.06707008,0
42,0.19467108,0
43,0.86252,1
44,0.07322747,0
45,0.028804235,0
46,0.05870087,0
47,0.0022088531,0
48,0.005625579,0
49,0.0034417098,0
50,0.001864187,0
51,0.022209,0
52,0.06297393,0
53,0.0072971177,0
54,0.014549924,0
55,0.006623146,0
56,0.32873133,0
57,0.9309526,1
58,0.15194139,0
2,0.99999845,1
3,0.9999832,1
4,1.0,1
5,0.9999999,1
6,1.0,1
7,1.0,1
8,0.9999999,1
9,0.99999976,1
10,0.9999993,1
11,0.9999994,1
12,0.9999993,1
13,1.0,1
14,0.9999964,1
15,0.9999918,1
16,0.99994457,1
17,0.9997416,1
18,0.9999975,1
19,0.99999833,1
20,0.9999999,1
21,0.99999976,1
22,0.9999945,1
23,0.9946748,1
24,0.9745199,1
25,0.97439146,1
26,0.9999784,1
27,0.99977297,1
28,0.9875886,1
29,0.21746215,0
30,0.024646148,0
31,0.4695504,0
32,0.04269819,0
33,0.03361737,0
34,0.14124879,0
35,0.5955925,1
36,0.9060686,1
37,0.7724678,1
38,0.49930698,0
39,0.9942985,1
40,0.9998092,1
41,0.9999925,1
42,0.9999801,1
43,0.99999917,1
44,0.9999974,1
45,0.9999789,1
46,0.9997874,1
47,0.9914709,1
48,0.933895,1
49,0.6199116,1
50,0.16700283,0
51,0.026527388,0
52,0.005718728,0
53,0.000857479,0
54,0.0002798492,0
55,0.00036701618,0
56,0.014211205,0
57,0.00065621804,0
58,5.660223e-05,0
59,0.00014528734,0
60,0.00017965332,0
61,2.2621578e-05,0
62,3.134973e-05,0
63,0.0020908874,0
64,0.06976634,0
65,0.008433444,0
66,0.025421523,0
67,0.00014227386,0
68,0.102245644,0
69,0.9727798,1
70,0.9958902,1
71,0.99997234,1
72,0.99999785,1
73,0.99993396,1
74,0.9999989,1
75,0.99999774,1
76,0.99999905,1
77,0.99999285,1
78,0.9999914,1
79,0.9994728,1
80,0.99792874,1
81,0.007970587,0
82,8.790855e-05,0
83,0.0055810367,0
84,0.024545757,0
85,0.23180014,0
86,0.86286455,1
87,0.91342205,1
88,0.9903612,1
89,0.98898906,1
90,0.9840677,1
91,0.9995499,1
92,0.99917233,1
93,0.9998876,1
94,0.9999479,1
95,0.9993044,1
96,0.99867296,1
97,0.9994535,1
98,0.99989235,1
99,0.9965107,1
100,0.99995196,1
101,0.99998856,1
102,0.9999783,1
103,1.0,1
104,1.0,1
2,0.9920025,1
3,0.9995153,1
4,0.99990165,1
5,0.9992557,1
6,0.96151304,1
7,0.9981511,1
8,0.9963062,1
9,0.988441,1
10,0.9993111,1
11,0.99826556,1
12,0.9975931,1
13,0.9992442,1
14,0.9997576,1
15,0.9994698,1
16,0.97303313,1
17,0.387249,0
18,0.018381879,0
19,0.0046242806,0
20,0.0036132415,0
21,0.014111743,0
22,0.0013504525,0
23,0.013071228,0
24,0.026453126,0
25,0.009250136,0
26,0.017213559,0
27,0.116016164,0
28,0.10005966,0
29,0.6152649,1
30,0.17005481,0
31,0.07950678,0
32,0.107946046,0
33,0.050614268,0
34,0.07834345,0
35,0.0064980327,0
36,0.020331237,0
37,0.23444602,0
38,0.9653189,1
39,0.98608065,1
40,0.79369,1
41,0.87889075,1
42,0.80076146,1
43,0.9740399,1
44,0.17458378,0
45,0.004014354,0
46,0.00032597146,0
47,0.00012630633,0
48,7.672199e-05,0
49,1.21952e-06,0
50,5.743537e-07,0
51,2.3003828e-07,0
52,2.4955683e-05,0
53,0.00015010867,0
54,0.013939636,0
55,0.018756116,0
56,0.012608352,0
57,0.8018583,1
58,0.959525,1
59,0.99643815,1
60,0.9669944,1
61,0.8138075,1
62,0.16173929,0
63,0.78844243,1
64,0.91089153,1
65,0.9659185,1
66,0.8996394,1
67,0.9107413,1
68,0.15804374,0
69,0.10389543,0
70,0.99355257,1
71,0.99824893,1
72,0.99986184,1
73,0.99999523,1
74,0.9999906,1
75,0.99977344,1
76,0.99998236,1
77,0.999949,1
78,0.9999906,1
79,0.9999956,1
80,0.99999845,1
81,0.9999994,1
82,0.99999917,1
83,0.9999982,1
84,0.99996006,1
85,0.99995375,1
86,0.9998963,1
87,0.9966217,1
88,0.9998927,1
89,0.9999945,1
90,0.99999535,1
2,2.7629849e-06,0
3,3.241975e-07,0
4,4.6621474e-07,0
5,1.3852762e-06,0
6,1.9320573e-06,0
7,8.2524906e-07,0
8,0.00016832742,0
9,0.05482631,0
10,0.39674482,0
11,0.9191882,1
12,0.9989017,1
13,0.9983955,1
14,0.9998585,1
15,0.9991001,1
16,0.99972576,1
17,0.940492,1
18,0.9962746,1
19,0.9993191,1
20,0.99680895,1
21,0.99431866,1
22,0.019461598,0
23,0.00048136333,0
24,1.761369e-05,0
25,2.025434e-05,0
26,2.7676828e-05,0
27,2.4135248e-05,0
28,5.1535267e-06,0
29,8.1308935e-05,0
30,2.5168662e-05,0
31,5.014979e-06,0
32,4.1406212e-05,0
33,0.0024379697,0
34,0.32151252,0
35,0.14367817,0
36,0.78727597,1
37,0.11143337,0
38,0.006306689,0
39,0.018821726,0
40,0.003055207,0
41,0.04946005,0
42,0.07482149,0
43,0.07322672,0
44,0.07716093,0
45,0.019334083,0
46,0.010092836,0
2,0.99999046,1
3,0.99999833,1
4,0.99992406,1
5,0.99999976,1
6,1.0,1
7,1.0,1
8,0.9999999,1
9,0.9999999,1
10,0.99999964,1
11,0.99999976,1
12,1.0,1
13,0.99999976,1
14,0.9999782,1
15,0.9998596,1
16,0.9999871,1
17,0.9999994,1
18,0.99999976,1
19,0.9999999,1
20,0.9999999,1
21,0.9999993,1
22,1.0,1
23,1.0,1
24,0.9999999,1
25,1.0,1
